header,subHeader,content
Underground - Indie Việt Nam,0,"Admin thích thì admin dí tiếp thoy 
Đã 5 ngày trôi qua mà Orijinn vẫn không có động thái đáp trả 2 con track nhắm thẳng vào mình
Thế ông là creep thật à? 
#Beef #NK #Rapital #Orijinn
#MrBan
#UndergroundIndieVietNam"
Mew629,0,"Người làm cả nước nhức đầu nay cũng biết nhức đầu rồi 
___
Ryco phát hành track nhạc tình yêu với visual gụng trứng. Flow vẫn rất nhanh, dù đã chậm đi nhiều 
[ad-stkr]"
"Trần Mạnh Cường
  · Theo dõi",0,"Một khi on mic
Là auto ngon zai "
Sinh Viên Đà Nẵng Confessions,0,Cũng áp dụng công thức mà sao nó lạ ghê
Theanh28 Entertainment ,0,"Dẫn pet đi mua thuốc cùng mà anh bán thuốc nỡ lòng ""lùa"" pet bay mất 
Video: Sumi012021"
Sinh Viên Đà Nẵng Confessions,0,Thành tinh luôn rồi :))
J2TEAM Community,0,"Từ khoá ""Emoji kitchen"" đang hot mấy bữa nay chắc nhiều người biết rồi nhưng có một easter egg ít người biết là nếu bạn chọn cây đũa phép rồi chọn bất cứ icon nào sẽ làm icon đó trở nên.... mập hơn
#j2team_share"
Gia Đình Cục Súc 🏠💟,0,Mùi người iu thơm dữ lắm 
Idol Live ,0,"CNET CHO RẰNG TẠO HÌNH CỦA JISOO TRONG PHIM MỚI ĐẠO NHÁI TẠO HÌNH CỦA LƯU THI THI
Một số bình luận của Cnet: 
- Jisoo xinh nhưng sao người Hàn muốn lấy hết mọi thứ? Không có sự xấu hổ? 
- Rõ ràng là văn hóa Trung Quốc đã bị giành lấy để quay thể loại phim truyền hình cổ trang này
- Lần nào Jisoo cũng phải đóng những bộ phim truyền hình hay điện ảnh gây tranh cãi như vậy? 
- Là người Trung Quốc, chúng ta không nên đuổi theo ngôi sao và gây hại đất nước 
- Không chỉ quần áo mà cả đạo cụ cũng được lấy trực tiếp"
Idol Live ,0,"CNET CHO RẰNG TẠO HÌNH CỦA JISOO TRONG PHIM MỚI ĐẠO NHÁI TẠO HÌNH CỦA LƯU THI THI
Một số bình luận của Cnet: 
- Jisoo xinh nhưng sao người Hàn muốn lấy hết mọi thứ? Không có sự xấu hổ? 
- Rõ ràng là văn hóa Trung Quốc đã bị giành lấy để quay thể loại phim truyền hình cổ trang này
- Lần nào Jisoo cũng phải đóng những bộ phim truyền hình hay điện ảnh gây tranh cãi như vậy? 
- Là người Trung Quốc, chúng ta không nên đuổi theo ngôi sao và gây hại đất nước 
- Không chỉ quần áo mà cả đạo cụ cũng được lấy trực tiếp"
Phối đồ nam,0,Quần tây sơ mi liệu có lỗi thời....
Outfit Theo Trend,0,"Mặc đồ đôi cùng bạn thân 
#outfittheotrend"
Học Từ Vựng Không Khó,0,HAY QUÁ 
NGHIỆN PHÍM CƠ,0,"#hcm #nghienphimco #ban
Cần pass:
- 27sw Mmd Princess Tactile LUBE: 150k
- 68 Cream Yellow pro v3: 200k
- 30 Cream Yellow pro v3 LUBE: 100k
- 27sw Kangwhite LUBE: 100k
- 30sw Mmd Cream LUBE: SOLD
- 5sw Gateron Unicorn: 70k
- 5 Piano LUBE: 40k
- 5 Snow blue grey: 40k
-----STAB----
1. Stab SP và M7W: 150k
   - overlube
2. Stab EG V3 đen: 150k
Ưu tiên GDTT mình ở Gò Vấp, ko COD"
Chợ PKL Việt Nam,0,"Xin phép admin em cần bán #CBR650-2020 đklđ 2021
Xe đã lên đống đồ chơi như : chảng 3 K2brand chính hãng,pô,quickshifter,tay côn,tay phanh Brembo RCS19,số gảy chính hãng,ốp đuôi CBR1000,kính gió,mấy ốp carbon linh tinh,...với đồ chơi nhỏ lẻ ko nhớ hết.
Ngoài ra khi mua còn được tặng ít đồ chơi của CBR650 mua về chưa dùng đến,số gảy zin,gác chân zin,chảng 3 ghi đông zin,...
Giá: 18x (x có như không) có thương lượng. Có call có fix nhanh gọn ak."
Chợ PKL Việt Nam,0,"Xin phép admin em cần bán #CBR650-2020 đklđ 2021
Xe đã lên đống đồ chơi như : chảng 3 K2brand chính hãng,pô,quickshifter,tay côn,tay phanh Brembo RCS19,số gảy chính hãng,ốp đuôi CBR1000,kính gió,mấy ốp carbon linh tinh,...với đồ chơi nhỏ lẻ ko nhớ hết.
Ngoài ra khi mua còn được tặng ít đồ chơi của CBR650 mua về chưa dùng đến,số gảy zin,gác chân zin,chảng 3 ghi đông zin,...
Giá: 18x (x có như không) có thương lượng. Có call có fix nhanh gọn ak."
Mua bán trao đổi Xe Moto PKL,0,"bán
honda vfr800 xe êm zin đẹp sưu tầm 
giá : 7x
gthl ko sang tên
xem xe trực tiếp test thoải mái là thích
máy lực  800cc 
phun xăng Fi cho anh em vi vu
alo: 0975336611 (thiện chí alo)
xem xe Hcm.giao tận nơi"
PHÒNG TRỌ SINH VIÊN ĐÀ NẴNG,0,"Cho thuê phòng trọ ĐẦU CẦU RỒNG
trống phòng vào ở ngay
 Thuận tiện cho các trường: đh kinh tế; đh duy tân; cao đẳng nghề; đh y được.
 free: máy nóng lạnh; wifi tốc độ cao; máy giặt.
 Thích hợp 2-4 người. Tài chính 2tr5/2
 điện 3,5k, nước 7k
 Khu vực an ninh & camera 24/24; có người dọn vệ sinh; Nhà để xe rộng rãi
 Phòng rộng thoáng mát,có gác lửng; các phòng đều có cửa sổ thoáng,có kệ bếp; kệ để chén bằng y nốc
 Có chỗ phơi đồ riêng cho từng phòng,ngoài ra sân thượng rộng phơi đồ chung cho các phòng.
 Giờ giấc tự do; không chung chủ; khu trọ hoà đồng.
 Thanh toán tiền phòng đầu tháng.
Đc: 925/6 ngô quyền, sơn trà, đà nẳng
Lh 0906496905 (uyên)"
Soha.vn ,0,"Miễn là em thích cô bé của anh 
#SohaPhotos"
"Tuyển dụng Front-end/Back-end (Nodejs, ReactJs, Python, Java, Html, Css)",0,"[HCM] Các Dev ơi! CÔNG TY TNHH POSCO DX VIỆT NAM tìm kiếm Full-stack Developer (Java, JavaScript) với mức lương hấp dẫn và RẤT NHIỀU đãi ngộ xịn sò! Nhanh tay lấy ngay cơ hội này!!!
Yêu cầu:
Có ít nhất từ 2 năm kinh nghiệm về Java và các công nghệ liên quan (JavaScript, Spring5, Spring Boot, J2EE, JSP, MSA, React, v.v.).
Đãi ngộ:
Bảo hiểm xã hội, bảo hiểm thuế TNCN.
Môi trường làm việc chuyên nghiệp.
Khóa học phát triển nghề nghiệp hấp dẫn (Chương trình du học hoặc đào tạo tại Hàn Quốc, v.v.).
Cơ hội đi làm việc ở nước ngoài để triển khai hệ thống mới tại công ty POSCO ở nước ngoài.
Địa chỉ làm việc： Thành phố Thủ Đức, Thành phố Hồ Chí Minh
—
Inbox hoặc cmt lấy JD để tham khảo thêm rất nhiều đãi ngộ hấp dẫn khác của công ty nhé!!!
Nếu các bạn quan tâm, vui lòng gửi CV qua career@topdev.vn với title: [Họ tên] - Full-stack - POSCO DX VN
Link JD: https://topdev.vn/s/uDlZnGlD"
Học Tiếng Anh Miễn Phí,0,flex về buổi săn tây của clb ai muốn tham gia có thể add và ib mình
Phụ Nữ & Gia Đình,0,Người tuổi Thân
Chợ PKL Việt Nam,0,"Honda CBR1000RR SP1 2019
Xe chuẩn zin.Chất xe đẹp.Đã lên đồ chơi vài chục triệu.
Giá chỉ 49x.000.000
Bao quay đầu cho ae trải nghiệm 
Ae nào đang tìm dòng này thì liên hệ mình nha.
:0933463636 — với Vân Trường."
Outfit Theo Trend,0,"t tứk gần chớccccc
#outfittheotrend"
,0,
Chợ PKL Việt Nam,0,"Honda CBR1000RR SP1 2019
Xe chuẩn zin.Chất xe đẹp.Đã lên đồ chơi vài chục triệu.
Giá chỉ 49x.000.000
Bao quay đầu cho ae trải nghiệm 
Ae nào đang tìm dòng này thì liên hệ mình nha.
:0933463636 — với Vân Trường."
Outfit Theo Trend,0,"t tứk gần chớccccc
#outfittheotrend"
Hóng Biến TP.Huế,0,"Cần tim người trong hình tên nguyễn văn lộc anh có dấu hiệu bị bệnh trầm cảm đi ra khỏi nhà vào lúc 3-4h chiều ngày 18/9 đến nay chưa thấy về nhà 
Già đình và ae bạn bè đi tìm không thấy đâu vậy ai thấy thì liên hệ cho gia đình của anh
Cư trú tại thôn lương viện xã vinh hưng ,phú lộc
Lh : 0899234171
: +84 98 3533016
Xin cám ơn
Ad duyệt giúp"
PHÒNG TRỌ SINH VIÊN ĐÀ NẴNG,0,"Mình muốn pass lại phòng ở  149 Lê Đình Lý ạ 
Phòng 3tr/ tháng 
Phòng gồm (máy điều hòa ,máy nóng lạnh,bếp,kệ chén)
Phòng ở tầng 1 luôn ạ và chỗ để xe rộng rãi an ninh"
Học cách nấu ăn ngon mỗi ngày,0,"Em có bài thuốc trị sâu răng ngậm nhổ ra được cả sâu ăn trong tuỷ nhé.Nha ai co con bị sâu răng , đau buốt . Sún răng ib e chỉ cách chữa khỏi tận gốc ạ .1 lọ #120k miễn phí sip toàn quốc nha
Lh 0962806955"
"Namluu292
  · Theo dõi",0,"Phân biệt thế nào khi nào dùng IN và ON với các phuơng tiện mn nhỉ?
Cre: Sưu tầm"
Terrace Music,0,Spiderman Tây Hồ đang đi giải cíu Thanh Tuốn
,0,
"Namluu292
  · Theo dõi",0,"Phân biệt thế nào khi nào dùng IN và ON với các phuơng tiện mn nhỉ?
Cre: Sưu tầm"
Terrace Music,0,Spiderman Tây Hồ đang đi giải cíu Thanh Tuốn
Vietnam Indie Music,0,Anh Mike lại chọc bạn rồi =)))
Tường VY,0,"Chuyên Mục chạy quanh huyện 
Đói gọi e _ Khát cũng gọi e nhaaa các bác"
Mew629,0,"Khoảnh khắc siêu phẩm 
————
 Chờ Ngày Mưa Tan - Noo Phước Thịnh ft. Tonny Việt"
Tuyet Tuyet Tuyendung,0,Con tim băng giá 
Bên Bển Có Gì Vui,0,"Mong chờ cho lắm vào
#benbencogivui"
,0,
Cô Tịnh TOEIC,0,Thử làm hông nè 
IT TUYỂN DỤNG - TÌM VIỆC LÀM,0,"[CTIGROUP] Tuyển TTS QA & Tester Fulltime
Số lượng: 3 bạn---nhanh tay ứng tuyển
Quyền lợi:
- Hỗ trợ chi phí thực tập 2.000.000đ -3.000.000 vnđ/ tháng
- Qua thời gian thử việc sẽ đánh giá năng lực lên thực tập sinh/fresher chính thức
- Thời gian làm việc (8h30-18h) từ t2-t7
--- KHÔNG YÊU CẦU KINH NGHIỆM ---CÓ LAPTOP CÁ NHÂN
Ib trực tiếp or zalo 0917628919 (Thu Hằng)"
Lớp Người Ta ,0,Sao giống chị Hằng đêm Trung thu zậy
,0,
IT TUYỂN DỤNG - TÌM VIỆC LÀM,0,"[CTIGROUP] Tuyển TTS QA & Tester Fulltime
Số lượng: 3 bạn---nhanh tay ứng tuyển
Quyền lợi:
- Hỗ trợ chi phí thực tập 2.000.000đ -3.000.000 vnđ/ tháng
- Qua thời gian thử việc sẽ đánh giá năng lực lên thực tập sinh/fresher chính thức
- Thời gian làm việc (8h30-18h) từ t2-t7
--- KHÔNG YÊU CẦU KINH NGHIỆM ---CÓ LAPTOP CÁ NHÂN
Ib trực tiếp or zalo 0917628919 (Thu Hằng)"
Lớp Người Ta ,0,Sao giống chị Hằng đêm Trung thu zậy
Phối đồ nam,0,Có ai thích sartorial giống tôi không ?
Pkl Group,0,"LIÊN HỆ TRỰC TIẾP : 0976616387 Minh Hiếu để được tư vấn, hỗ trợ vận chuyển nhanh PKL - PKN dọc tuyến đường sắt bằng tàu hàng nhanh hành trình 51giờ Nam <=> Bắc ( xe BMW GS1250 mới 99,9% siêu nặng , giá trị cao của Ông Anh Cần Thơ gửi về Thủ Đô được phục vụ bao bọc đóng gói cẩn thận , ngoài giờ hành chính tại Ga Sóng Thần ) ."
Pkl Group,0,"LIÊN HỆ TRỰC TIẾP : 0976616387 Minh Hiếu để được tư vấn, hỗ trợ vận chuyển nhanh PKL - PKN dọc tuyến đường sắt bằng tàu hàng nhanh hành trình 51giờ Nam <=> Bắc ( xe BMW GS1250 mới 99,9% siêu nặng , giá trị cao của Ông Anh Cần Thơ gửi về Thủ Đô được phục vụ bao bọc đóng gói cẩn thận , ngoài giờ hành chính tại Ga Sóng Thần ) ."
PHÒNG TRỌ SINH VIÊN ĐÀ NẴNG,0,"CHO THUÊ PHÒNG TRỌ GIÁ RẺ 
- Phòng diện tích rộng rải có: gường, điều hoà , nước nóng, nhà vệ sinh riêng có máy giặc chung.
- Liên hệ/ Zalo: 0914306889
- Phòng có giá 2tr / tháng
- Địa chỉ: 69 Tôn đức Thắng - Gần trường Đại học Duy Tân, trường Đại học Sư Phạm- Đại học Đà Nẵng"
Chợ PKL Việt Nam,0,"Ai đó Tag giúp mình cái tên người đang mê dòng SP1 này dc không ạ 
Tại mình có bé SP1 đep lắm 
CBR1000RR SP1 2019 Vài chục triệu tiền đồ chơi 
 Chỉ 49X.000.000vnđ 
 0901489939 Thiệu Tông"
YAN TV đã đăng một tập mới của BẢN TIN TV 6 - YAN STUDIO.,0,Nhan sắc và thần sắc có thể tàn phai nhưng giọng ca của ca sĩ Kim Ngân vẫn hay như xưa
,0,
Hóng,0,"Xin vía tài lộc may mắn
...."
"Vietnam EDM Festivals
  · Theo dõi",0,"Những đồng tiền ""LALISA"" mà Lisa sử dụng trong buổi biểu diễn tại đêm BORN PINK ở Seoul đã được nhiều người rao bán trên các trang web tại Hàn Quốc "
Underground - Indie Việt Nam,0,"24k.Right - Hoàng Tử Long Biên đã giàu, đẹp trai lại còn hiếu thảo 
#RapViet #VieON
#24KRight
#UndergroundIndieVietNam"
Taengoo đã nói gì?,0,"""Lý do duy nhất khiến tao đi học suốt cả ngày là vì để quên đi sự thật rằng tao méo bao giờ có thể trở thành chồng của Taeyeon""
Gòy soq đi học đến hết đời "
RIOBook.vn,0,"Những cái ổ gà thực sự là vấn đề khó chịu. 
Đối với người đi ô tô, chúng hủy hoại lốp xe và hệ thống giảm xóc. Đối với người đi bộ, chúng chứa nước mưa và bạn sẽ bị nước bắn vào người. 
Nhưng tệ nhất có lẽ là đối với người đi xe đạp. Chúng phá hoại bánh trước, bạn có thể ngã chúi về phía trước trên đống sỏi hoặc kết thúc cuộc đời dưới gầm xe tải.
Chính quyền địa phương ở Bury không bao giờ bận tâm về những cái ổ gà nhưng lại rất sốt sắng che giấu các hình vẽ graffiti.
Vì thế, một người đi xe đạp tại đó quyết định sử dụng graffiti để giải quyết vấn đề ổ gà.
Ở bất kỳ cái ổ gà lớn nào, anh ta phun một bộ phận sinh dục trông rất xấu xí và thô thiển xung quanh cái ổ gà đó. 
Điều đó đã khiến cái ổ gà ấy trở nên nổi bật. Những cái ổ gà bị bỏ mặc trong nhiều tháng trời, đã được lấp đầy và những hình vẽ graffiti bị xóa trong vòng 48 giờ.
Đây cũng chính là một bài học lớn cho tất cả chúng ta.
Thứ nhận được phản ứng bằng hành động là thứ thu hút được sự chú ý. Thứ thu được sự chú ý là thứ được người ta nhìn thấy.
Cho nên, việc được nhìn thấy, việc tạo ra ảnh hưởng mạnh mẽ, là phần quan trọng nhất của bất cứ hoạt động truyền thông nào được thiết kế để thay đổi hành vi của con người.
—--------
Chúng ta “Wow” vì ý tưởng của những người bình thường trong cuộc sống hàng ngày, chẳng phải để tạo ra một thứ gì đó to lớn, mà đơn giản chỉ là họ vận dụng sự sáng tạo ấy để giải quyết vấn đề. Và bạn biết gì không, những câu chuyện về sáng tạo luôn có tác động mạnh mẽ đến tâm trí của người đọc nó, tạo ra những thay đổi nhỏ nhưng quan trọng trong tư duy con người. 
Hãy cùng khám phá những câu chuyện sáng tạo có sức nặng trong quyển sách nổi tiếng của bậc thầy quảng cáo lỗi lạc nhất nước Anh Dave Trott “Bệnh mù sáng tạo và cách chữa nó” nhé!
Tiki: https://tiki.vn/benh-mu-sang-tao-va-cach-chua-no... 
Shopee: https://shopee.vn/product/266326069/23345393965/"
Taengoo đã nói gì?,0,"""Lý do duy nhất khiến tao đi học suốt cả ngày là vì để quên đi sự thật rằng tao méo bao giờ có thể trở thành chồng của Taeyeon""
Gòy soq đi học đến hết đời "
RIOBook.vn,0,"Những cái ổ gà thực sự là vấn đề khó chịu. 
Đối với người đi ô tô, chúng hủy hoại lốp xe và hệ thống giảm xóc. Đối với người đi bộ, chúng chứa nước mưa và bạn sẽ bị nước bắn vào người. 
Nhưng tệ nhất có lẽ là đối với người đi xe đạp. Chúng phá hoại bánh trước, bạn có thể ngã chúi về phía trước trên đống sỏi hoặc kết thúc cuộc đời dưới gầm xe tải.
Chính quyền địa phương ở Bury không bao giờ bận tâm về những cái ổ gà nhưng lại rất sốt sắng che giấu các hình vẽ graffiti.
Vì thế, một người đi xe đạp tại đó quyết định sử dụng graffiti để giải quyết vấn đề ổ gà.
Ở bất kỳ cái ổ gà lớn nào, anh ta phun một bộ phận sinh dục trông rất xấu xí và thô thiển xung quanh cái ổ gà đó. 
Điều đó đã khiến cái ổ gà ấy trở nên nổi bật. Những cái ổ gà bị bỏ mặc trong nhiều tháng trời, đã được lấp đầy và những hình vẽ graffiti bị xóa trong vòng 48 giờ.
Đây cũng chính là một bài học lớn cho tất cả chúng ta.
Thứ nhận được phản ứng bằng hành động là thứ thu hút được sự chú ý. Thứ thu được sự chú ý là thứ được người ta nhìn thấy.
Cho nên, việc được nhìn thấy, việc tạo ra ảnh hưởng mạnh mẽ, là phần quan trọng nhất của bất cứ hoạt động truyền thông nào được thiết kế để thay đổi hành vi của con người.
—--------
Chúng ta “Wow” vì ý tưởng của những người bình thường trong cuộc sống hàng ngày, chẳng phải để tạo ra một thứ gì đó to lớn, mà đơn giản chỉ là họ vận dụng sự sáng tạo ấy để giải quyết vấn đề. Và bạn biết gì không, những câu chuyện về sáng tạo luôn có tác động mạnh mẽ đến tâm trí của người đọc nó, tạo ra những thay đổi nhỏ nhưng quan trọng trong tư duy con người. 
Hãy cùng khám phá những câu chuyện sáng tạo có sức nặng trong quyển sách nổi tiếng của bậc thầy quảng cáo lỗi lạc nhất nước Anh Dave Trott “Bệnh mù sáng tạo và cách chữa nó” nhé!
Tiki: https://tiki.vn/benh-mu-sang-tao-va-cach-chua-no... 
Shopee: https://shopee.vn/product/266326069/23345393965/"
Thanh Hang đã thêm một ảnh mới.,0,"Tự nhiên cái bánh đi mua con ciu với cái loằn dề ăn 
 ngon Chac là ngon ma nhìn 
 has cái miệng cắn cái loằn mé ghê qa kkkk"
Bách Khoa Toàn Nhạc,0,"Người Nhện đi giải cứu anh Justasuy khỏi Rap Việt 
#bachkhoatoannhac
#the1st
#justatee"
Con trai hư,0,Cái lùm mé =))))
,0,
Con trai hư,0,Cái lùm mé =))))
